att,beta.gene.mdd,beta.Z.att.x,pval.gene.mdd,p.adj.gene.mdd,beta.gene.sex.mdd,beta.Z.att.y,pval.gene.sex.mdd,p.adj.gene.sex.mdd,beta.gene.sex,beta.Z.att,pval.gene.sex,p.adj.gene.sex
RPS4Y1,-8.62930194,-3.790021925,1.5063e-4,0.024147,5.30417556,1.26247479,0.20678,0.6317,-189.11755076,-11.58336117,5.0045e-31,2.2416e-28
CORO1C,-34.56320078,-3.779202306,1.5733e-4,0.024958,-28.717535,-3.09290598,0.0019821,0.19498,-45.43269978,-4.42943116,9.4482e-6,1.0104e-4
CLDND1,29.66085113,3.744136474,1.8102e-4,0.026254,25.94429954,3.23416678,0.00122,0.18073,29.15174798,3.3411198,8.3441e-4,0.0043444
CNPY3,-34.6855913,-3.750628408,1.7639e-4,0.026254,-33.26224992,-3.54549837,3.9187e-4,0.14609,-14.88929344,-1.50844147,0.13144,0.24504
COTL1,-36.14817153,-3.748158696,1.7814e-4,0.026254,-30.58940749,-3.11717376,0.0018259,0.19311,-43.02732412,-4.0388003,5.3725e-5,4.4709e-4
FLJ10661,-18.47064309,-3.754889057,1.7342e-4,0.026254,-15.19295709,-3.0373243,0.0023869,0.20537,-25.14277027,-4.57577981,4.7445e-6,5.6581e-5
KDM5D,-8.58704159,-3.74488858,1.8047e-4,0.026254,7.42478644,1.64425598,0.10012,0.50339,-202.40350011,-11.02705673,2.8297e-28,1.105e-25
RNF157,25.46026703,3.746572549,1.7927e-4,0.026254,21.47177903,3.10164963,0.0019245,0.19498,30.65187876,4.12556177,3.6983e-5,3.2443e-4
SGTB,31.29738718,3.761015201,1.6923e-4,0.026254,27.41004998,3.24323212,0.0011818,0.18073,30.53541634,3.37590059,7.3574e-4,0.0039027
TAX1BP3,-33.7178175,-3.754481965,1.737e-4,0.026254,-30.53973855,-3.35118875,8.0465e-4,0.18073,-25.78474598,-2.68217585,0.0073145,0.02545
THAP2,28.22924563,3.759839605,1.7002e-4,0.026254,24.14076484,3.17447609,0.0015011,0.1853,30.6833907,3.79291469,1.4889e-4,0.001034
CEP135,35.53725776,3.736114096,1.8689e-4,0.02685,30.4252526,3.16979916,0.0015254,0.1853,36.92840971,3.65172729,2.6048e-4,0.0016467
ACVR1C,19.51463992,3.71649599,2.02e-4,0.026942,16.98314043,3.18947691,0.0014253,0.1853,19.11629801,3.43941941,5.8296e-4,0.0032248
ARFGAP2,-49.48477609,-3.725187936,1.9517e-4,0.026942,-42.50503878,-3.15201801,0.0016215,0.18589,-55.02853533,-3.73820391,1.8534e-4,0.0012396
