att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
MPEG1,-50.19592687,1.3547e-9,2.06307263e-5
CNTNAP3,24.22341199,1.3699e-9,2.08622071e-5
SLC4A7,47.68610478,1.3972e-9,2.12779588e-5
ZFHX3,-39.51443603,1.432e-9,2.1807928e-5
DAK,-65.93309682,1.4322e-9,2.18109738e-5
ABCA13,-17.28258605,1.4333e-9,2.18277257e-5
KCNQ1,-69.1541162,1.4505e-9,2.20896645e-5
KRTAP5.1,20.91109616,1.4521e-9,2.21140309e-5
TMEM116,45.52833362,1.4567e-9,2.2184084299999998e-5
SORBS3,-63.42146869,1.4609e-9,2.22480461e-5
DDX60L,39.60856783,1.4686e-9,2.2365309400000002e-5
GBF1,-82.43082626,1.5067e-9,2.29455343e-5
IL1RAP,44.49290099,1.5111e-9,2.30125419e-5
CADM4,38.22134358,1.5648e-9,2.38303392e-5
PDGFD,36.73192975,1.6048e-9,2.4439499200000003e-5
DHX32,-47.0341587,1.6456e-9,2.50608424e-5
NCRNA00182,24.17402325,1.7014e-9,2.59106206e-5
SEZ6L,-28.78378858,1.7413e-9,2.65182577e-5
KCTD7,59.29853166,1.8595e-9,2.83183255e-5
TGFA,47.34744846,1.8696e-9,2.84721384e-5
PIM2,53.08380793,2.0446e-9,3.11372134e-5
PDGFRB,-26.2446957,2.1074e-9,3.20935946e-5
DNAJB12,-76.04409006,2.1397e-9,3.25854913e-5
TTC14,65.45514237,2.2217e-9,3.38342693e-5
FOXD2,31.5185148,2.2219e-9,3.38373151e-5
TK2,-57.88433822,2.2368e-9,3.40642272e-5
CD300LF,-50.8412262,2.2428e-9,3.41556012e-5
IFIT2,34.82495021,2.2986e-9,3.50053794e-5
FAM83H,-44.56628657,2.3145e-9,3.52475205e-5
PSME3,-68.33034671,2.4033e-9,3.65998557e-5
MLF2,-69.97502152,2.4725e-9,3.76537025e-5
IFIT5,35.62417066,2.4849e-9,3.78425421e-5
PHF2,-83.74419673,2.502e-9,3.8102957999999996e-5
CSF1R,-47.40294031,2.6078e-9,3.97141862e-5
LOC375196,-18.06901573,2.6129e-9,3.97918541e-5
C2CD2L,-56.60844939,2.618e-9,3.9869521999999995e-5
RIBC1,24.14660652,2.6503e-9,4.03614187e-5
AMN,30.7179347,2.7549e-9,4.19543721e-5
C16orf7,35.4941926,2.7839e-9,4.23960131e-5
APBA1,-30.00721039,2.9142e-9,4.4380351800000005e-5
GYLTL1B,41.84549076,2.9205e-9,4.44762945e-5
FAS,49.02947332,2.9507e-9,4.49362103e-5
NCOA6,-67.03777225,2.9661e-9,4.51707369e-5
AIM2,25.86593044,3.02e-9,4.599158e-5
PARVB,-30.79071905,3.0618e-9,4.66281522e-5
CDC14A,56.40564329,3.0812e-9,4.69235948e-5
HSPB1,37.18153543,3.0971e-9,4.71657359e-5
CYTH4,55.39382906,3.0972e-9,4.71672588e-5
CTBP2,-72.04030409,3.1203e-9,4.75190487e-5
GLS2,42.51882123,3.1404e-9,4.78251516e-5
BATF,40.71099597,3.1626e-9,4.8163235399999995e-5
PABPN1L,-24.63201634,3.2703e-9,4.98033987e-5
ZNF398,-64.42326011,3.3459e-9,5.0954711100000004e-5
FAAH,-32.93908403,3.5205e-9,5.36136945e-5
OASL,23.82125349,3.6229e-9,5.51731441e-5
APOL1,31.57317101,3.641e-9,5.5448789e-5
KIF13B,-67.36887144,3.7287e-9,5.67843723e-5
WIZ,-82.4583745,3.8524e-9,5.8668199599999995e-5
CD320,40.29798303,3.8761e-9,5.9029126899999996e-5
GRN,-49.3763909,3.966e-9,6.0398214e-5
ZNF609,-68.87202915,4.0592e-9,6.181755680000001e-5
PGS1,45.15967761,4.114e-9,6.265210599999999e-5
SPECC1,-35.35899329,4.2158e-9,6.42024182e-5
GSTZ1,-39.86084018,4.218e-9,6.4235922e-5
HK2,-49.3447316,4.2458e-9,6.46592882e-5
GPA33,38.49085628,4.3286e-9,6.59202494e-5
ZNF10,55.49637451,4.4597e-9,6.79167713e-5
